"year" "month" "day" "date" "region" "locality" "sites" "loc_site" "site_id" "ID_transect" "depth_m" "type_uvc" "area_uvc" "environment" "taxa" "size_cm" "abundance" "dataset" "site_date" "diver" "area_uvc_correct" "type_uvc_correct"
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Thalassoma lucasanum" 10 12 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Scarus rubroviolaceus" 55 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Scarus rubroviolaceus" 45 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Scarus rubroviolaceus" 40 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Acanthurus nigricans" 20 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Acanthurus xanthopterus" 35 3 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Prionurus laticlavius" 35 6 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Melichthys niger" 25 80 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Zanclus cornutus" 20 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Aulostomus chinensis" 30 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Arothron meleagris" 15 10 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Arothron meleagris" 20 3 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Canthigaster punctatissima" 5 6 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Canthigaster punctatissima" 10 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1426" 15 NA 40 NA "Plagiotremus azaleus" 10 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Myripristis berndti" 20 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Myripristis berndti" 25 5 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Cephalopholis panamensis" 20 3 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Paranthias colonus" 15 30 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Paranthias colonus" 20 5 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Paranthias colonus" 25 10 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Caranx melampygus" 50 6 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Caranx melampygus" 40 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Lutjanus viridis" 20 7 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Lutjanus viridis" 25 4 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Kyphosus vaigiensis" 20 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Holacanthus passer" 20 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Johnrandallia nigrirostris" 10 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Stegastes arcifrons" 5 8 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Stegastes arcifrons" 10 150 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Bodianus diplotaenia" 5 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Bodianus diplotaenia" 15 6 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Bodianus diplotaenia" 20 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Halichoeres discolor" 10 10 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Thalassoma lucasanum" 5 160 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Scarus rubroviolaceus" 50 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Acanthurus nigricans" 20 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Prionurus laticlavius" 30 15 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Melichthys niger" 25 30 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Sufflamen verres" 25 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Aulostomus chinensis" 45 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Aulostomus chinensis" 40 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Arothron meleagris" 15 4 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Arothron meleagris" 20 3 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Canthigaster punctatissima" 5 4 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1427" 15 NA 40 NA "Canthigaster punctatissima" 10 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Myripristis berndti" 20 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Dermatolepis dermatolepis" 30 20 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Paranthias colonus" 10 4 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Paranthias colonus" 15 28 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Paranthias colonus" 20 55 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Cirrhitichthys oxycephalus" 10 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Cirrhitichthys oxycephalus" 5 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Caranx melampygus" 50 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Caranx melampygus" 60 6 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Lutjanus viridis" 20 1 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Holacanthus passer" 15 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Johnrandallia nigrirostris" 10 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Stegastes arcifrons" 5 116 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Stegastes arcifrons" 10 202 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Bodianus diplotaenia" 10 6 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Halichoeres discolor" 5 16 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Halichoeres discolor" 10 48 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Halichoeres discolor" 15 12 "CocoTEP.csv" "cocos_2014-11" NA NA NA
"2014" "11" "01" 2014-11-01 "costa_rica" "cocos" "cocos" "cocos-cocos" "costa_rica-cocos" "cocos_2014_cocos_observer_1_1429" 7 NA 40 NA "Thalassoma grammaticum" 15 2 "CocoTEP.csv" "cocos_2014-11" NA NA NA
