site_id;region_site;dataset_sites;locality;lat_correct;long_correct
costa_rica-isla_vikinga;costa_rica-isla_vikinga;lab;isla_del_coco;5.549556;-87.0645
costa_rica-islotes;costa_rica-islotes;lab;golfo_dulce;8.730417;-83.385472
costa_rica-jicaral;costa_rica-jicaral;lab;bahia_culebra;10.619775;-85.676711
costa_rica-la_catarata;costa_rica-la_catarata;lab;isla_del_cano;8.706667;-83.866361
costa_rica-la_viuda;costa_rica-la_viuda;lab;marino_ballena;9.15025;-83.782278
costa_rica-matapalo;costa_rica-matapalo;lab;bahia_culebra;10.5429374734;-85.7797055322
costa_rica-mogos;costa_rica-mogos;lab;golfo_dulce;8.722361;-83.410111
costa_rica-nicuesa;costa_rica-nicuesa;lab;golfo_dulce;8.657056;-83.274389
costa_rica-palmitas;costa_rica-palmitas;lab;bahia_culebra;10.6444247888822;-85.6871755247642
costa_rica-pelonas;costa_rica-pelonas;lab;bahia_culebra;10.578757;-85.71103
costa_rica-piedra_llorona;costa_rica-piedra_llorona;lab;osa;8.509667;-83.666694
costa_rica-playa_blanca;costa_rica-playa_blanca;lab;bahia_culebra;10.610869;-85.686039
costa_rica-punta_adela;costa_rica-punta_adela;lab;golfo_dulce;8.655056;-83.296111
costa_rica-punta_carrillo;costa_rica-punta_carrillo;lab;samara-carrillo;9.861;-85.486833
costa_rica-punta_el_indio;costa_rica-punta_el_indio;lab;samara-carrillo;9.864722;-85.497583
costa_rica-punta_gallardo;costa_rica-punta_gallardo;lab;golfo_dulce;8.636333;-83.246139
costa_rica-punta_gissler;costa_rica-punta_gissler;lab;isla_del_coco;5.543361;-87.07175
costa_rica-punta_islita;costa_rica-punta_islita;lab;coyote;9.84585;-85.402811
costa_rica-punta_leonel;costa_rica-punta_leonel;lab;isla_del_coco;5.519306;-87.095806
costa_rica-punta_maria;costa_rica-punta_maria;lab;isla_del_coco;5.535361;-87.086806
costa_rica-punta_pleito;costa_rica-punta_pleito;lab;san_juanillo;10.031311;-85.743931
costa_rica-roca_campanario;costa_rica-roca_campanario;lab;osa;8.637972;-83.736333
costa_rica-roca_sucia;costa_rica-roca_sucia;lab;isla_del_coco;5.548222;-87.081694
costa_rica-roca_sumergida;costa_rica-roca_sumergida;lab;isla_del_coco;5.504861;-87.055444
costa_rica-rodolitos;costa_rica-rodolitos;lab;isla_del_coco;5.545917;-87.029083
costa_rica-san_josecito;costa_rica-san_josecito;lab;osa;8.670994;-83.718178
costa_rica-san_pedrillo;costa_rica-san_pedrillo;lab;osa;8.613583;-83.738194
costa_rica-sandalo;costa_rica-sandalo;lab;golfo_dulce;8.578861;-83.351083
costa_rica-tiburon;costa_rica-tiburon;lab;islas_tortuga;9.763417;-84.897556
costa_rica-tres_hermanas;costa_rica-tres_hermanas;lab;marino_ballena;9.104083;-83.706861
costa_rica-bajo_argentina;costa_rica-bajo_argentina;lab;bahia_culebra;10.578931;-85.712642
costa_rica-bajo_mero;costa_rica-bajo_mero;lab;bahia_culebra;10.610825;-85.679086
costa_rica-cabeza_de_mono;costa_rica-cabeza_de_mono;lab;bahia_culebra;10.610481;-85.701542
costa_rica-punta_cacique;costa_rica-punta_cacique;lab;bahia_culebra;10.574144;-85.698825
