"long";"lat";"region_site";"site_id";"locality"
"60";-85,7655;10,058019;"costa_rica-el_santuario";"costa_rica-el_santuario";"san_juanillo"
"61";-85,6700841615;10,5929710442;"costa_rica-esmeralda";"costa_rica-esmeralda";"bahia_culebra"
"62";-85,6686816155;9,90905196982;"costa_rica-farallon_del_diablo";"costa_rica-farallon_del_diablo";"garza"
"63";-85,6492724083;9,9004846844;"costa_rica-garza";"costa_rica-garza";"garza"
"64";-85,690592;10,614064;"costa_rica-guiri_guiri";"costa_rica-guiri_guiri";"bahia_culebra"
"65";-84,670086;9,702068;"costa_rica-hume";"costa_rica-hume";"punta_leona"
"66";-83,726167;9,106611;"costa_rica-isla_ballena";"costa_rica-isla_ballena";"marino_ballena"
"67";-85,709577;11,048651;"costa_rica-isla_bolanos";"costa_rica-isla_bolanos";"revisar"
"68";-85,11041;9,54113;"costa_rica-isla_cabo_blanco";"costa_rica-isla_cabo_blanco";"cabo_blanco"
"69";-85,8518505092;10,3004644537;"costa_rica-isla_capitan";"costa_rica-isla_capitan";"villareal"
"70";-85,515861;9,863306;"costa_rica-isla_chora";"costa_rica-isla_chora";"samara"
"71";-85,89207;10,83489;"costa_rica-isla_cocinera";"costa_rica-isla_cocinera";"islas_murcielago"
"72";-83,889083;8,698306;"costa_rica-isla_del_cano";"costa_rica-isla_del_cano";"isla_del_cano"
"73";-85,7475555555556;11,0026388888889;"costa_rica-isla_despensa";"costa_rica-isla_despensa";"revisar"
"74";-85,7958813168;10,4203147103;"costa_rica-isla_loros";"costa_rica-isla_loros";"bahia_brasilito"
"75";-87,046917;5,561861;"costa_rica-isla_manuelita";"costa_rica-isla_manuelita";"isla_del_coco"
"76";-87,054083;5,554111;"costa_rica-isla_pajara";"costa_rica-isla_pajara";"isla_del_coco"
"77";-85,8062526481;10,4500976776;"costa_rica-isla_plata";"costa_rica-isla_plata";"bahia_brasilito"
