site_id;lat;long;region_site;dataset_sites;locality;Environment;site_id_correct
costa_rica-isla_vikinga;5.549556;-87.0645;costa_rica-isla_vikinga;lab;isla_del_coco;coral reef;costa_rica-isla_vikinga
costa_rica-bahia_wafer;5.545944;-87.062306;costa_rica-bahia_wafer;lab;isla_del_coco;coral reef;costa_rica-bahia_wafer
costa_rica-roca_sucia;5.548222;-87.081694;costa_rica-roca_sucia;lab;isla_del_coco;rocky reef;costa_rica-roca_sucia
costa_rica-isla_manuelita_afuera;5.56095;-87.04851;costa_rica-isla_manuelita_afuera;franz;isla_del_coco;rocky reef;costa_rica-manuelita_afuera
costa_rica-bahia_chatham;5.552556;-87.040972;costa_rica-bahia_chatham;lab;isla_del_coco;coral reef;costa_rica-bahia_chatham
costa_rica-isla_manuelita_adentro;5.561861111;-87.04691667;costa_rica-isla_manuelita_adentro;franz;isla_del_coco;coral reef;costa_rica-isla_manuelita_adentro
costa_rica-piedra_llorona;8.509667;-83.666694;costa_rica-piedra_llorona;lab;peninsula_de_osa;rocky reef;costa_rica-piedra_llorona
costa_rica-san_pedrillo;8.613583;-83.738194;costa_rica-san_pedrillo;lab;peninsula_de_osa;rocky reef;costa_rica-san_pedrillo
costa_rica-isla_ballena_ne;9.108833333;-83.72980556;costa_rica-isla_ballena_ne;franz;pn_marino_ballena;rocky reef;costa_rica-isla_ballena_ne
costa_rica-mortero;9.4546;-84.53399;costa_rica-mortero;metadata;islas_tortuga;rocky reef;costa_rica-mortero
costa_rica-bajo_los_castillo;9.870306;-85.526944;costa_rica-bajo_los_castillo;lab;samara-carrillo;rocky reef;costa_rica-bajo_los_castillo
costa_rica-isla_vikinga_o_cascara;5.549556;-87.0645;costa_rica-isla_vikinga_o_cascara;NA;isla_del_coco;coral reef;costa_rica-isla_vikinga
costa_rica-bahia_gissler;5.543361;-87.07175;costa_rica-bahia_gissler;NA;isla_del_coco;coral reef;costa_rica-punta_gissler
costa_rica-punta_presidia;NA;NA;costa_rica-punta_presidia;NA;isla_del_coco;coral community;costa_rica-punta_presidio
costa_rica-el_arbolito_#2;9.222944;-83.846056;costa_rica-el_arbolito_#2;NA;dominical;rocky reef;costa_rica-el_arbolito_2
NA;NA;NA;NA-NA;NA;NA;;
costa_rica-punta_cacique;10.574144;-85.698825;costa_rica-punta_cacique;lab;bahia_culebra;sandy bottom;costa_rica-punta_cacique
costa_rica-palmares_ii;10.644422;-85.687189;costa_rica-palmares_ii;lab;bahia_culebra;coral community;costa_rica-palmares_ii
costa_rica-bajo_percy;10.578069;-85.709303;costa_rica-bajo_percy;lab;bahia_culebra;coral community;costa_rica-bajo_percy
costa_rica-playa_blanca;10.610869;-85.686039;costa_rica-playa_blanca;lab;bahia_culebra;coral reef;costa_rica-playa_blanca
costa_rica-caletas_i;10.591764;-85.676097;costa_rica-caletas_i;lab;bahia_culebra;coral community;costa_rica-caletas_i
costa_rica-cabeza_de_mono;10.610481;-85.701542;costa_rica-cabeza_de_mono;lab;bahia_culebra;rocky reef;costa_rica-cabeza_de_mono
costa_rica-bajo_argentina;10.578931;-85.712642;costa_rica-bajo_argentina;lab;bahia_culebra;rocky reef;costa_rica-bajo_argentina
costa_rica-bajo_mero;10.610825;-85.679086;costa_rica-bajo_mero;lab;bahia_culebra;rocky reef;costa_rica-bajo_mero
costa_rica-esmeralda;10.59297104;-85.67008416;costa_rica-esmeralda;lab;bahia_culebra;coral community;costa_rica-esmeralda
costa_rica-cacique;10.573694;-85.69905;costa_rica-cacique;lab;bahia_culebra;sandy bottom;costa_rica-punta_cacique
costa_rica-punta_bejuco;9.48555;-85.20022;costa_rica-punta_bejuco;metadata;golfo_dulce;rocky reef;costa_rica-punta_bejuco
costa_rica-sandalo;8.578861;-83.351083;costa_rica-sandalo;lab;golfo_dulce;coral reef;costa_rica-sandalo
costa_rica-manuelita;5.56187;-87.04693;costa_rica-manuelita;franz;isla_del_coco;coral reefs;costa_rica-isla_manuelita_adentro
costa_rica-la_viuda;9.15025;-83.782278;costa_rica-la_viuda;lab;pn_marino_ballena;rocky reef;costa_rica-la_viuda
costa_rica-tombolo_sur;9.146972;-83.767306;costa_rica-tombolo_sur;metadata;pn_marino_ballena;rocky reef;costa_rica-tombolo_sur
costa_rica-isla_ballena;9.106611;-83.726167;costa_rica-isla_ballena;lab;pn_marino_ballena;rocky reef;costa_rica-isla_ballena
costa_rica-tombolo_noreste_1;9.142278;-83.75675;costa_rica-tombolo_noreste_1;metadata;pn_marino_ballena;coral community;costa_rica-tombolo_noreste_1
costa_rica-cueva_del_tiburon;8.712694;-83.889778;costa_rica-cueva_del_tiburon;lab;isla_del_cano;coral reef;costa_rica-cueva_del_tiburon
costa_rica-bajo_tres_hermanas;9.107;-83.712028;costa_rica-bajo_tres_hermanas;lab;pn_marino_ballena;coral community;costa_rica-bajo_tres_hermanas
costa_rica-tres_hermanas;9.104083;-83.706861;costa_rica-tres_hermanas;lab;pn_marino_ballena;coral reef;costa_rica-tres_hermanas
costa_rica-bajo_mauren;9.112583;-83.740917;costa_rica-bajo_mauren;lab;pn_marino_ballena;coral community;costa_rica-bajo_mauren
costa_rica-san_jocesito;8.670994;-83.718178;costa_rica-san_jocesito;NA;peninsula_de_osa;coral reef;costa_rica-san_josecito
costa_rica-burbujas;8.496694;-83.262583;costa_rica-burbujas;lab;golfo_dulce;rocky reef;costa_rica-burbujas
costa_rica-bajo_viuda;NA;NA;costa_rica-bajo_viuda;NA;golfo_dulce;rocky reef;costa_rica-bajo_viuda
costa_rica-bajo_diablo;8.707844;-83.905975;costa_rica-bajo_diablo;lab;isla_del_cano;rocky reef;costa_rica-bajo_diablo
costa_rica-bajo_el_diablo;8.707844;-83.905975;costa_rica-bajo_el_diablo;NA;isla_del_cano;rocky reef;costa_rica-bajo_diablo
costa_rica-bajo_alcyone;NA;NA;costa_rica-bajo_alcyone;NA;isla_del_coco;rocky reef;costa_rica-bajo_alcyone
costa_rica-bajo_punta_maria;NA;NA;costa_rica-bajo_punta_maria;NA;isla_del_coco;coral reef;costa_rica-punta_maria
costa_rica-bajo_alcyone;NA;NA;costa_rica-bajo_alcyone;NA;isla_del_coco;rocky reef;costa_rica-bajo_alcyone
costa_rica-manuelita_afuera;5.56095;-87.04851;costa_rica-manuelita_afuera;NA;isla_del_coco;rocky reef;costa_rica-manuelita_afuera
costa_rica-isla_san_pedrito;10.85585278;-85.95117778;costa_rica-isla_san_pedrito;lab;islas_murcielago;rocky reef;costa_rica-isla_san_pedrito
costa_rica-isla_catalina;10.85601389;-85.92981944;costa_rica-isla_catalina;lab;islas_murcielago;rocky reef;costa_rica-isla_catalina
costa_rica-isla_las_golondrinas;10.85693889;-85.94221944;costa_rica-isla_las_golondrinas;lab;islas_murcielago;coral community;costa_rica-isla_las_golondrinas
costa_rica-bajo_pochote;10.85741667;-85.92106667;costa_rica-bajo_pochote;lab;islas_murcielago;rocky reef;costa_rica-bajo_pochote
costa_rica-bajo_la_vita;10.89188333;-85.91575;costa_rica-bajo_la_vita;lab;islas_murcielago;rocky reef;costa_rica-bajo_la_vita
costa_rica-isla_pelada;10.87191667;-85.8997;costa_rica-isla_pelada;lab;islas_murcielago;coral community;costa_rica-isla_pelada
costa_rica-el_refugio;10.85879167;-85.908225;costa_rica-el_refugio;lab;islas_murcielago;rocky reef;costa_rica-el_refugio
costa_rica-bajo_negro;10.8384;-85.89816667;costa_rica-bajo_negro;lab;islas_murcielago;rocky reef;costa_rica-bajo_negro
costa_rica-mm_2016;10.85875556;-85.91194167;costa_rica-mm_2016;lab;islas_murcielago;coral community;costa_rica-mm_2016
costa_rica-cocinera_sur;10.85575;-85.90071667;costa_rica-cocinera_sur;lab;islas_murcielago;coral community;costa_rica-cocinera_sur
costa_rica-san_jose_norte;10.85665;-85.92493333;costa_rica-san_jose_norte;lab;islas_murcielago;rocky reef;costa_rica-san_jose_norte
costa_rica-isla_colorada_este;10.84798333;-85.86435;costa_rica-isla_colorada_este;lab;peninsula_santa_elena;rocky reef;costa_rica-isla_colorada_este
costa_rica-isla_colorada_sur;10.84193333;-85.86055;costa_rica-isla_colorada_sur;lab;peninsula_santa_elena;rocky reef;costa_rica-isla_colorada_sur
costa_rica-san_jose_sur;10.85941667;-85.92321667;costa_rica-san_jose_sur;lab;islas_murcielago;rocky reef;costa_rica-san_jose_sur
costa_rica-matapalito;10.93376667;-85.79335;costa_rica-matapalito;lab;peninsula_santa_elena;coral reef;costa_rica-matapalito
costa_rica-isla_leoncillo;10.93871667;-85.80181667;costa_rica-isla_leoncillo;lab;peninsula_santa_elena;rocky reef;costa_rica-isla_leoncillo
costa_rica-isla_los_cabros;10.94663333;-85.83108333;costa_rica-isla_los_cabros;lab;peninsula_santa_elena;rocky reef;costa_rica-isla_los_cabros
costa_rica-puerta_de_la_iglesia;10.85448333;-85.91608333;costa_rica-puerta_de_la_iglesia;lab;islas_murcielago;rocky reef;costa_rica-puerta_de_la_iglesia
costa_rica-san_pedrillo;8.613583;-83.738194;costa_rica-san_pedrillo;lab;islas_murcielago;rocky reef;costa_rica-isla_san_pedrito
costa_rica-playas_coloradas;10.87118333;-85.86481667;costa_rica-playas_coloradas;lab;peninsula_santa_elena;rocky reef;costa_rica-playas_coloradas
costa_rica-los_negritos;10.9187;-85.90263333;costa_rica-los_negritos;lab;peninsula_santa_elena;rocky reef;costa_rica-los_negritos
costa_rica-punta_morros;10.91128333;-85.91221667;costa_rica-punta_morros;lab;peninsula_santa_elena;rocky reef;costa_rica-punta_morros
costa_rica-punta_blanca;10.94725;-85.88381667;costa_rica-punta_blanca;lab;peninsula_santa_elena;rocky reef;costa_rica-punta_blanca
costa_rica-cocos;5.5287;-87.06;costa_rica-cocos;metadata;isla_del_coco;???;costa_rica-cocos
costa_rica-bahia_chatham;5.552556;-87.040972;costa_rica-bahia_chatham;lab;isla_del_coco;coral reef;costa_rica-bahia_chatham
costa_rica-bahia_wafer;5.545944;-87.062306;costa_rica-bahia_wafer;lab;isla_del_coco;coral reef;costa_rica-bahia_wafer
costa_rica-bahia_weston;5.552278;-87.050889;costa_rica-bahia_weston;lab;isla_del_coco;coral reef;costa_rica-bahia_weston
costa_rica-isla_manuelita_adentro;5.561861111;-87.04691667;costa_rica-isla_manuelita_adentro;franz;isla_del_coco;coral reef;costa_rica-isla_manuelita_adentro
costa_rica-isla_vikinga_cascara;5.549556;-87.0645;costa_rica-isla_vikinga_cascara;metadata;isla_del_coco;coral reef;costa_rica-isla_vikinga
