locality;month;day;year;sites;observer;zone;exposure;ID_transect;area_uvc;depth_m;genus_species;abund;size_cm
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;bodianus_diplotaenia;2;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;bodianus_diplotaenia;6;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;bodianus_diplotaenia;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;halichoeres_discolor;10;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;thalassoma_lucasanum;160;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;scarus_rubroviolaceus;1;50
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;acanthurus_nigricans;2;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;prionurus_laticlavius;15;30
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;melichthys_niger;30;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;sufflamen_verres;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;aulostomus_chinensis;1;45
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;aulostomus_chinensis;1;40
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;arothron_meleagris;4;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;arothron_meleagris;3;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;canthigaster_punctatissima;4;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;canthigaster_punctatissima;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;myripristis_berndti;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;dermatolepis_dermatolepis;20;30
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;paranthias_colonus;4;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1429;40;7;paranthias_colonus;28;15
