locality;month;day;year;sites;observer;zone;exposure;ID_transect;area_uvc;depth;genus_species;abund;size_cm
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;plagiotremus_azaleus;2;7.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;abudefduf_troschelii;40;7.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;thalassoma_lucasanum;3;7.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;serranus_psittacinus;1;7.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;stegastes_acapulcoensis;40;12.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;sargocentron_suborbitalis;5;12.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;odontoscion_xanthops;1;17.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;kyphosus_elegans;10;17.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;haemulon_flaviguttatum;60;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;fistularia_commersonii;3;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;scarus_ghobban;3;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;acanthurus_xanthopterus;10;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;lutjanus_novemfasciatus;5;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;kyphosus_analogus;12;25
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_2;40;6.6;pseudobalistes_naufragium;2;35
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;scarus_ghobban;20;2.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;canthigaster_punctatissima;4;2.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;thalassoma_lucasanum;20;7.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;serranus_psittacinus;2;7.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;stegastes_acapulcoensis;30;12.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;holacanthus_passer;1;12.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;thalassoma_lucasanum;2;12.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;sargocentron_suborbitalis;2;12.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;sufflamen_verres;5;12.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;johnrandallia_nigrirostris;2;12.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;diodon_holocanthus;2;12.5
bahia_culebra;23;7;2014;guiri guiri;a_beita;;;bahia_culebra_guiri guiri_2014_a_beita_3;40;6.6;kyphosus_analogus;12;17.5
